id,created_at,updated_at,deleted_at,title,selected_type,file
798,2019-07-13 01:54:17.866699+03,2019-07-13 01:54:17.866699+03,,,,"{""FileName"":""fconnector.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/798/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
799,2019-07-13 02:16:53.810492+03,2019-07-13 02:16:53.810492+03,,,,"{""FileName"":""mconnecotr.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/799/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
800,2019-07-15 19:43:16.298407+03,2019-07-15 19:43:16.298407+03,,,,"{""FileName"":""load pressure.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/800/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
801,2019-07-15 19:44:39.856253+03,2019-07-15 19:44:39.856253+03,,,,"{""FileName"":""tempsensor.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/801/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
802,2019-07-16 00:39:46.005164+03,2019-07-16 00:39:46.005164+03,,,,"{""FileName"":""4pin.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/802/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
803,2019-07-16 01:59:22.569502+03,2019-07-16 01:59:22.569502+03,,,,"{""FileName"":""sensors.PNG"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/803/file.PNG"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
804,2019-07-16 18:57:20.279472+03,2019-07-16 18:57:20.279472+03,,,,"{""FileName"":""LoadpressureSensor.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/804/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
805,2019-07-16 20:00:30.015688+03,2019-07-16 20:00:30.015688+03,,,,"{""FileName"":""sensors_valvebank.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/805/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
806,2019-07-16 20:13:03.694577+03,2019-07-16 20:13:03.694577+03,,,,"{""FileName"":""4pin.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/806/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
807,2019-07-16 20:28:53.988343+03,2019-07-16 20:28:53.988343+03,,,,"{""FileName"":""sensors_valvebank.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/807/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
808,2019-07-16 22:25:45.892379+03,2019-07-16 22:25:45.892379+03,,,,"{""FileName"":""encoder.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/808/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
809,2019-07-16 23:40:44.443536+03,2019-07-16 23:40:44.443536+03,,,,"{""FileName"":""6pin1.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/809/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
810,2019-07-17 02:39:04.084932+03,2019-07-17 02:39:04.084932+03,,,,"{""FileName"":""deutch.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/810/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
811,2019-07-17 20:34:56.458715+03,2019-07-17 20:34:56.458715+03,,,,"{""FileName"":""622B_cypress_valve.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/811/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
812,2019-07-18 20:52:21.710983+03,2019-07-18 20:52:21.710983+03,,,,"{""FileName"":""622BCypressValve.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/812/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
813,2019-07-18 20:56:00.418781+03,2019-07-18 20:56:00.418781+03,,,,"{""FileName"":""622BCypressValve1.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/813/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
814,2019-07-18 22:53:26.390646+03,2019-07-18 22:53:26.390646+03,,,,"{""FileName"":""622_CypressValve.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/814/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
815,2019-07-19 01:05:40.155786+03,2019-07-19 01:05:40.155786+03,,,,"{""FileName"":""622BCypressValveBank.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/815/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
816,2019-07-20 02:24:33.282485+03,2019-07-20 02:24:33.282485+03,,,,"{""FileName"":""722vavle.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/816/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
